contact,close_contact
"Ushers, Lobby Attendants, and Ticket Takers",get_occupation
First-Line Supervisors of Police and Detectives,get_occupation
Police Patrol Officers,get_occupation
Medical Secretaries,get_occupation
Massage Therapists,get_occupation
"Elementary School Teachers, Except Special Education",get_occupation
"Preschool Teachers, Except Special Education",get_occupation
Teacher Assistants,get_occupation
Amusement and Recreation Attendants,get_occupation
Pharmacists,get_occupation
Childcare Workers,get_occupation
Healthcare Social Workers,get_occupation
Social and Human Service Assistants,get_occupation
Correctional Officers and Jailers,get_occupation
Nurse Practitioners,get_occupation
First-Line Supervisors of Correctional Officers,get_occupation
"Hairdressers, Hairstylists, and Cosmetologists",get_occupation
Pharmacy Technicians,get_occupation
First-Line Supervisors of Food Preparation and Serving Workers,get_occupation
Municipal Firefighters,get_occupation
Medical Equipment Preparers,get_occupation
Personal Care Aides,get_occupation
"Kindergarten Teachers, Except Special Education",get_occupation
Home Health Aides,get_occupation
"Bus Drivers, School or Special Client",get_occupation
Skincare Specialists,get_occupation
Psychiatric Aides,get_occupation
Psychiatric Technicians,get_occupation
Veterinarians,get_occupation
Emergency Medical Technicians and Paramedics,get_occupation
Nurse Anesthetists,get_occupation
Medical Assistants,get_occupation
Nursing Assistants,get_occupation
Veterinary Assistants and Laboratory Animal Caretakers,get_occupation
Occupational Therapy Assistants,get_occupation
Flight Attendants,get_occupation
Occupational Therapists,get_occupation
Physical Therapists,get_occupation
Physical Therapist Assistants,get_occupation
Cardiovascular Technologists and Technicians,get_occupation
"Internists, General (Internal Medicine)",get_occupation
Physician Assistants,get_occupation
Physical Therapist Aides,get_occupation
Diagnostic Medical Sonographers,get_occupation
Surgical Technologists,get_occupation
Licensed Practical and Licensed Vocational Nurses,get_occupation
Radiologic Technicians,get_occupation
Respiratory Therapists,get_occupation
Registered Nurses,get_occupation
Family and General Practitioners,get_occupation
Orderlies (Patient Care Assistants),get_occupation
"Dentists, General",get_occupation
Dental Assistants,get_occupation
Respiratory Therapy Technicians,get_occupation
Dental Hygienists,get_occupation
dentist,get_occupation
Manicurists and Pedicurists,get_occupation
Economists,get_occupation
Computer Network Architects,get_occupation
Actuaries,get_occupation
Computer Hardware Engineers,get_occupation
Web Developers,get_occupation
Graphic Designers,get_occupation
Management Analysts,get_occupation
Market Research Analysts and Marketing Specialists,get_occupation
Postal Service Mail Carriers,get_occupation
Financial Analysts,get_occupation
"Education Teachers, Postsecondary",get_occupation
Personal Financial Advisors,get_occupation
"Bookkeeping, Accounting, and Auditing Clerks",get_occupation
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",get_occupation
Lawyers,get_occupation
Computer Programmers,get_occupation
Marketing Managers,get_occupation
"Financial Managers, Branch or Department",get_occupation
"Sales Agents, Securities and Commodities",get_occupation
Refuse and Recyclable Material Collectors,get_occupation
Chief Executives,get_occupation
Laundry and Dry-Cleaning Workers,get_occupation
Light Truck or Delivery Services Drivers,get_occupation
Taxi Drivers and Chauffeurs,get_occupation
Construction Laborers,get_occupation
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",get_occupation
Real Estate Sales Agents,get_occupation
"Secondary School Teachers, Except Special and Career/Technical Education",get_occupation
Retail Salespersons,get_occupation
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",get_occupation
Food Service Managers,get_occupation
Maids and Housekeeping Cleaners,get_occupation
sore throat,get_symptoms
cold,get_symptoms
diarrhea,get_symptoms
tiredness,get_symptoms
My throat feels dry.,get_symptoms
I have dry cough.,get_symptoms
nasal congestion,get_symptoms
runny nose,get_symptoms
breathing difficulty,get_symptoms
body pain,get_symptoms
i am fine,get_symptoms
I have a fever,get_symptoms
I feel tired all the time.,get_symptoms
2,get_travel_location
1,get_work_location
int,international_travel
national,national_travel
another travel location,national_travel
no contact,no_close_contact
5,no_diseases
no other travel location,no_other_travel
none,no_symptoms
No other symptoms,no_symptoms
no places visited,no_travel
"Yes, I have other symptoms",other_symptoms
other work,other_work
riskfree work,riskfree_work
